date;user;edited_data
14/05/2019 23:47;techcrunch;{'series': 'series d', 'raised_funds': '100000000.0 $', 'investors': {'The Wall Street Journal', 'Global Founders Capital', 'Wellington Management', 'Lone Pine Capital', 'Baillie Gifford'}, 'date_scraped': '2019-05-14T23:45:41', 'company_name': 'Rubio'}
14/05/2019 22:49;techcrunch;{'series': 'public', 'investors': {'Uber'}, 'date_scraped': '2019-05-14T22:48:29', 'company_name': 'CrowdStrike'}
14/05/2019 22:01;techcrunch;{'series': 'public', 'date_scraped': '2019-05-14T22:01:10', 'company_name': 'Peskin'}
14/05/2019 22:01;techcrunch;{'series': 'series o', 'date_scraped': '2019-05-14T22:00:24', 'company_name': 'FAA'}
14/05/2019 21:26;techcrunch;{'date_scraped': '2019-05-14T21:24:57', 'company_name': 'The New York Times'}
14/05/2019 20:35;techcrunch;
14/05/2019 20:32;techcrunch;{'date_scraped': '2019-05-14T20:30:17', 'company_name': 'Startup Battlefield'}
14/05/2019 20:17;techcrunch;{'date_scraped': '2019-05-14T20:16:13', 'company_name': 'Innowatts'}
14/05/2019 20:03;techcrunch;{'date_scraped': '2019-05-14T20:02:12', 'company_name': 'New Relic'}
14/05/2019 20:00;techcrunch;
14/05/2019 19:56;techcrunch;
14/05/2019 19:35;techcrunch;{'series': 'ipo', 'investors': {'NYSE'}, 'date_scraped': '2019-05-14T19:34:20', 'company_name': 'Uber'}
14/05/2019 18:53;techcrunch;{'date_scraped': '2019-05-14T18:51:58', 'company_name': 'Beat Games'}
14/05/2019 18:50;techcrunch;
14/05/2019 18:31;techcrunch;
14/05/2019 18:25;techcrunch;{'series': 'series b', 'raised_funds': '18000000.0 $', 'investors': {'TomboyX'}, 'date_scraped': '2019-05-14T18:24:29', 'company_name': 'TomboyX'}
14/05/2019 18:05;techcrunch;{'series': 'public', 'investors': {'Lerman'}, 'date_scraped': '2019-05-14T17:05:01', 'company_name': 'Yext'}
14/05/2019 17:52;techcrunch;{'date_scraped': '2019-05-14T17:51:26', 'company_name': 'Moon'}
14/05/2019 17:43;techcrunch;{'series': 'public', 'investors': {'SpaceX', 'Elon Musk'}, 'date_scraped': '2019-05-14T17:43:16', 'company_name': 'Musk'}
14/05/2019 17:39;techcrunch;
14/05/2019 17:36;techcrunch;{'date_scraped': '2019-05-14T17:36:25', 'company_name': 'Group of 7'}
14/05/2019 17:19;techcrunch;
14/05/2019 17:05;techcrunch;{'date_scraped': '2019-05-14T16:05:54', 'company_name': 'Phil Weiner'}
14/05/2019 17:04;techcrunch;
14/05/2019 17:04;techcrunch;{'date_scraped': '2019-05-14T17:00:56', 'company_name': 'TechCrunch Sessions is heading to San Jose'}
14/05/2019 17:01;techcrunch;{'date_scraped': '2019-05-14T16:59:43', 'company_name': 'Labs'}
14/05/2019 17:00;techcrunch;
14/05/2019 16:36;techcrunch;{'date_scraped': '2019-05-14T16:36:01', 'company_name': 'Google'}
14/05/2019 16:35;techcrunch;
14/05/2019 16:33;techcrunch;
14/05/2019 16:24;techcrunch;{'date_scraped': '2019-05-14T13:39:16', 'company_name': 'Hulu'}
