date;user;parsed_data
14/05/2019 23:47;techcrunch;{1: {}, 2: {'investors': ['Baillie Gifford', 'The Wall Street Journal', 'Wellington Management', 'Baillie Gifford', 'Lone Pine Capital', 'Global Founders Capital', 'The Wall Street Journal'], 'funds': ['$100 million', '$1.4 billion'], 'series': ['Series D']}, 3: {'investors': ['Away']}, 4: {}, 5: {'investors': ['Jen Rubio', 'NPR']}, 6: {'investors': ['Warby Parker', 'Rubio', 'Rubio', 'Warby Parker', 'Steph Korey', 'Warby']}, 7: {'investors': ['Rent the Runway and Glossier'], 'funds': ['$400 million']}, 8: {'investors': ['PitchBook']}, 9: {'investors': ['Series C'], 'funds': ['$2.5 million', '$7.2 million', '$8.5 million', '$40 million', '$20 million', '$120 million', '$50 million', '$400 million', '$100 million', '$1.4 billion'], 'series': ['seed', 'Series A', 'Series B', 'Series C']}, 10: {'investors': ['Series C'], 'funds': ['$181 million']}, 11: {'investors': ['Forerunner Ventures', 'Accel', 'Battery Ventures', 'Comcast Ventures', 'Shawn Carter', 'Slack', 'Stewart Butterfield', 'Karlie Kloss']}, 12: {'investors': ['Rubio', 'WSJ', 'Rubio']}, 13: {}, 0: {'date': '2019-05-14T23:45:41', 'title': 'Trendy luggage brand Away packs on $100M, rolls past $1.4B valuation | TechCrunch'}}
14/05/2019 22:49;techcrunch;{1: {'investors': ['Uber'], 'series': ['public']}, 2: {'investors': ['CrowdStrike'], 'funds': ['$3.3 billion'], 'series': ['public']}, 3: {'investors': ['CrowdStrike', 'Nasdaq', 'CrowdStrike', 'Warburg Pincus', 'Accel', 'CapitalG'], 'funds': ['$100 million', '$480 million'], 'series': ['IPO']}, 4: {'investors': ['CrowdStrike'], 'funds': ['$53 million', '$119 million', '$250 million', '$163 million', '$300 million']}, 5: {'investors': ['CrowdStrike'], 'funds': ['$91 million', '$135 million', '$140 million']}, 6: {'investors': ['George Kurtz', 'Dmitri Alperovitch', 'McAfee', 'CrowdStrike'], 'series': ['IPO']}, 7: {'investors': ['CrowdStrike'], 'funds': ['$29.2 billion']}, 8: {'investors': ['CrowdStrike']}, 9: {}, 10: {}, 0: {'date': '2019-05-14T22:48:29', 'title': 'CrowdStrike, a cybersecurity unicorn, files to go public | TechCrunch'}}
14/05/2019 22:01;techcrunch;{1: {'investors': ['Board of Supervisors', 'The Stop Secret Surveillance Ordinance', 'Aaron Peskin']}, 2: {'investors': ['Peskin', 'Peskin', 'Jerry Brown']}, 3: {'series': ['public']}, 4: {'investors': ['Catherine Stefani', 'Stefani', 'Rules Committee']}, 5: {}, 6: {}, 7: {}, 8: {'investors': ['ACLU', 'the Electronic Frontier Foundation', 'Oakland Privacy']}, 9: {'investors': ['the ACLU of Northern California', 'Matt Cagle', 'Brian Hofer', 'Privacy Advisory Commission'], 'series': ['public']}, 10: {'series': ['public']}, 11: {'investors': ['the Surveillance and Community Safety Ordinance and Surveillance Technology Use and Community Safety Ordinance']}, 0: {'date': '2019-05-14T22:01:10', 'title': 'San Francisco passes city government ban on facial recognition tech | TechCrunch'}}
14/05/2019 22:01;techcrunch;{1: {'series': ['series o']}, 2: {'investors': ['PBS']}, 3: {'investors': ['Google']}, 4: {'investors': ['the Federal Aviation Authority', 'FAA']}, 5: {}, 6: {'investors': ['FAA']}, 7: {'investors': ['Echodyne', 'Kittyhawk', 'Unifly']}, 8: {}, 9: {}, 10: {'investors': ['Gatwick', 'Heathrow']}, 11: {'investors': ['Goldman Sachs']}, 0: {'date': '2019-05-14T22:00:24', 'title': 'Preparing for a future of drone-filled skies | TechCrunch'}}
14/05/2019 21:26;techcrunch;{1: {}, 2: {'investors': ['S&P']}, 3: {}, 4: {}, 5: {'investors': ['The New York Times', 'The New York Times']}, 6: {}, 7: {}, 8: {}, 9: {}, 0: {'date': '2019-05-14T21:24:57', 'title': 'Stocks gain back some ground as investors assess the trade war’s impact | TechCrunch'}}
14/05/2019 20:35;techcrunch;
14/05/2019 20:32;techcrunch;{1: {'investors': ['Startup Battlefield', 'Startup Battlefield']}, 2: {'investors': ['Startup Battlefield', 'Mint', 'Dropbox'], 'funds': ['$8.9 billion']}, 3: {'investors': ['Startup Battlefield', 'TechCrunch']}, 4: {}, 5: {'funds': ['$100']}, 6: {'investors': ['YouTube']}, 7: {'investors': ['Startup Battlefield', 'Startup Battlefield']}, 8: {'investors': ['Startup Alley Exhibitor Package']}, 0: {'date': '2019-05-14T20:30:17', 'title': 'Apply now for Startup Battlefield at Disrupt SF 2019 | TechCrunch'}}
14/05/2019 20:17;techcrunch;{1: {'investors': ['Innowatts', 'Energy Impact Partners', 'Innowatts', 'Energy Impact Partners'], 'funds': ['$18.2 million']}, 2: {'investors': ['Shell Ventures', 'Energy and Environment Investment', 'Evergy Ventures']}, 3: {}, 4: {'investors': ['Innowatts']}, 5: {'investors': ['Siddhartha Sachdeva', 'Innowatts']}, 6: {}, 7: {'investors': ['Innowatts']}, 8: {'investors': ['Michael Donnelly', 'EIP', 'Innowatts']}, 9: {}, 10: {'investors': ['Utilities', 'Geert van de Wouw', 'Shell Ventures']}, 0: {'date': '2019-05-14T20:16:13', 'title': 'Innowatts raises $18 million for its energy monitoring toolkit for utilities | TechCrunch'}}
14/05/2019 20:03;techcrunch;{1: {}, 2: {'investors': ['New Relic']}, 3: {'investors': ['Jim Gochee', 'New Relic']}, 4: {'investors': ['New Relic']}, 5: {}, 6: {'investors': ['AWS Lambda']}, 7: {'investors': ['Lew Cirne']}, 8: {'investors': ['New Relic One', 'Cirne']}, 9: {'investors': ['Nancy Gohring', 'TechCrunch']}, 10: {}, 11: {}, 0: {'date': '2019-05-14T20:02:12', 'title': 'New Relic takes a measured approach to platform overhaul | TechCrunch'}}
14/05/2019 20:00;techcrunch;
14/05/2019 19:56;techcrunch;
