date;user;tweet;raw_tweets
14/05/2019 23:47;techcrunch;trendy luggage brand away packs on $100 m , rolls past $1.4 b valuation https ://tcrn.ch/2ljr6rj by @kateclarktweets pic .twitter.com/mxvdryqxj1;Trendy luggage brand Away packs on $100M, rolls past $1.4B valuation https://tcrn.ch/2LJR6rJ by @kateclarktweets
14/05/2019 22:49;techcrunch;crowdstrike , a cybersecurity unicorn , files to go public https ://tcrn.ch/2w54ivc by @kateclarktweets pic .twitter.com/rwhcgr4th9;CrowdStrike, a cybersecurity unicorn, files to go public https://tcrn.ch/2W54ivc by @kateclarktweets
14/05/2019 22:01;techcrunch;san francisco passes city government ban on facial recognition tech https ://tcrn.ch/2wirbbv by @tayhatmaker pic .twitter.com/khshd8wzl8;San Francisco passes city government ban on facial recognition tech https://tcrn.ch/2WIrbBv by @tayhatmaker
14/05/2019 22:01;techcrunch;preparing for a future of drone -filled skies https ://tcrn.ch/2vv3dhy pic .twitter.com/cy9tcsvwbr;Preparing for a future of drone-filled skies https://tcrn.ch/2vV3dHy
14/05/2019 21:26;techcrunch;stocks gain back some ground as investors assess the trade war 's impact https ://tcrn.ch/2yqf10e by @jshieber pic .twitter.com/ojocr5yo4c;Stocks gain back some ground as investors assess the trade war’s impact https://tcrn.ch/2Yqf10E by @jshieber
14/05/2019 20:35;techcrunch;this jam -packed agenda is overflowing with some of the biggest names and most exciting startups in the transportation industry https ://tcrn.ch/2hno77e #tcmobility;
14/05/2019 20:32;techcrunch;apply now for startup battlefield at disrupt sf 2019 https ://tcrn.ch/2wpax5b by @neeshatambe pic .twitter.com/2rkelnmr2i;Apply now for Startup Battlefield at Disrupt SF 2019 https://tcrn.ch/2WPAX5b by @neeshatambe
14/05/2019 20:17;techcrunch;innowatts raises $18 million for its energy monitoring toolkit for utilities https ://tcrn.ch/2w6eyct by @jshieber;Innowatts raises $18 million for its energy monitoring toolkit for utilities https://tcrn.ch/2W6eYcT by @jshieber
14/05/2019 20:03;techcrunch;new relic takes a measured approach to platform overhaul https ://tcrn.ch/2w0ktkz by @ron_miller pic .twitter.com/xvzhw0hz3k;New Relic takes a measured approach to platform overhaul https://tcrn.ch/2w0kTkZ by @ron_miller
14/05/2019 20:00;techcrunch;beyond costs , what else can we do to make housing affordable ? https ://tcrn.ch/2hs2idk;Beyond costs, what else can we do to make housing affordable? 
14/05/2019 19:56;techcrunch;spacex kicks off its space -based internet service tomorrow with 60 -satellite starlink launch https ://tcrn.ch/30kgswz pic .twitter.com/immzne8iqz;
14/05/2019 19:35;techcrunch;federal labor lawyer says uber drivers are not employees https ://tcrn.ch/2wevvs4 by @meganrosedickey pic .twitter.com/kuiq4qupjb;Federal labor lawyer says Uber drivers are not employees https://tcrn.ch/2WEvVs4 by @meganrosedickey
14/05/2019 18:53;techcrunch;vr 's best game is getting more features (and more expensive ) https ://tcrn.ch/2w14nwv by @lucasmtny pic .twitter.com/8fqagzeser;VR’s best game is getting more features (and more expensive) https://tcrn.ch/2W14NWV by @lucasmtny
14/05/2019 18:50;techcrunch;announcing techcrunch sessions : enterprise this september in san francisco https ://tcrn.ch/2vydqnl;Announcing TechCrunch Sessions: Enterprise this September in San Francisco 
14/05/2019 18:31;techcrunch;after year -long lockout , twitter is finally giving people their accounts back https ://tcrn.ch/2hjl4oq by @sarahintampa pic .twitter.com/nez6duhjyf;
14/05/2019 18:25;techcrunch;d2c underwear brand tomboyx raises $18 million from craftory https ://tcrn.ch/2vw76fv by @jordanrcrook pic .twitter.com/rkcy1zab46;D2C underwear brand TomboyX raises $18 million from Craftory https://tcrn.ch/2vW76fv by @jordanrcrook
14/05/2019 18:05;techcrunch;ceo howard lerman on building a public company and the future of yext https ://tcrn.ch/2vyhv1l by @anthonyha;CEO Howard Lerman on building a public company and the future of Yext https://tcrn.ch/2VyHV1L by @anthonyha
14/05/2019 17:52;techcrunch;nasa gives its new moon mission a name : artemis https ://tcrn.ch/2hi9glq pic .twitter.com/bxk2jryfyp;NASA gives its new Moon mission a name: Artemis https://tcrn.ch/2Hi9gLq
14/05/2019 17:43;techcrunch;musk 's new lawyer fights 'pedo guy ' defamation lawsuit claims , questions motive https ://tcrn.ch/2q3drfm by @kirstenkorosec pic .twitter.com/nh2jcc8srf;Musk’s new lawyer fights ‘pedo guy’ defamation lawsuit claims, questions motive https://tcrn.ch/2Q3dRFm by @kirstenkorosec
14/05/2019 17:39;techcrunch;confused about the new intel chip vulnerabilities ? don 't be -- just patch your systems . here 's what you need to know . https ://techcrunch.com/2019/05/14/intel-chip-flaws-patches-released/ ...;Confused about the new Intel chip vulnerabilities? Don't be — just patch your systems. Here's what you need to know. 
14/05/2019 17:36;techcrunch;world leaders ask tech giants to tackle toxic content with christchurch call https ://tcrn.ch/2q5tozd by @romaindillet pic .twitter.com/w5nrpf618l;World leaders ask tech giants to tackle toxic content with Christchurch Call https://tcrn.ch/2Q5TozD by @romaindillet
14/05/2019 17:19;techcrunch;google makes travel planning easier https ://tcrn.ch/2lipkmc by @fredericl pic .twitter.com/47tmecmrxo;
14/05/2019 17:05;techcrunch;verified expert brand designer : phil weiner https ://tcrn.ch/2vhfnyx by @yvonneleow;Verified Expert Brand Designer: Phil Weiner https://tcrn.ch/2VHFnyx by @YvonneLeow
14/05/2019 17:04;techcrunch;ar display -maker digilens lands $50 million from samsung , niantic https ://tcrn.ch/2jdtnsx by @lucasmtny pic .twitter.com/x4uinjyazz;
14/05/2019 17:04;techcrunch;tc sessions : mobility announces its july 10 agenda https ://tcrn.ch/2ymd94m by @kirstenkorosec pic .twitter.com/pncp2ryid1;TC Sessions: Mobility announces its July 10 agenda https://tcrn.ch/2YmD94m by @kirstenkorosec
14/05/2019 17:01;techcrunch;twitter 's new developer labs offers beta access to rebuilt apis https ://tcrn.ch/2ldknpj by @joshconstine pic .twitter.com/wotc8m2l7l;Twitter’s new Developer Labs offers beta access to rebuilt APIs https://tcrn.ch/2LDKnPJ by @joshconstine
14/05/2019 17:00;techcrunch;new : researchers have found a new flaw affecting almost every intel processor since 2011 . the big tech giants are releasing patches today . https ://techcrunch.com/2019/05/14/zombieload-flaw-intel-processors/ ...;New: Researchers have found a new flaw affecting almost every Intel processor since 2011. The big tech giants are releasing patches today. 
14/05/2019 16:36;techcrunch;google cloud launches its second region in japan https ://tcrn.ch/2wmglds by @fredericl pic .twitter.com/hkv99ms03c;Google Cloud launches its second region in Japan https://tcrn.ch/2WMgldS by @fredericl
14/05/2019 16:35;techcrunch;voi unveils 'longer-lasting' e -scooters designed to withstand rentals , and launches its first e -bikes https ://tcrn.ch/30ieilz by @sohear pic .twitter.com/x6tetuugr9;
14/05/2019 16:33;techcrunch;africa e -tailer jumia issues post -ipo results amid short -sell assault https ://tcrn.ch/2q5otox by @jakerbright pic .twitter.com/ewfhja77rs;
14/05/2019 16:24;techcrunch;disney is taking operational control of hulu , with comcast selling its stake in 2024 https ://tcrn.ch/2hq9uqh by @anthonyha;Disney is taking operational control of Hulu, with Comcast selling its stake in 2024 https://tcrn.ch/2Hq9Uqh by @anthonyha
14/05/2019 16:24;techcrunch;daily crunch : impossible foods raises $300 m https ://tcrn.ch/2wirtpl by @anthonyha pic .twitter.com/fmh4g53jvh;Daily Crunch: Impossible Foods raises $300M https://tcrn.ch/2WIrTPl by @anthonyha
14/05/2019 16:22;techcrunch;walmart , tyson foods and j .b. hunt launch a logistics accelerator in arkansas with plug and play https ://tcrn.ch/2wjjc7c by @jshieber pic .twitter.com/u3xsb8c1rm;Walmart, Tyson Foods and J.B. Hunt launch a logistics accelerator in Arkansas with Plug and Play https://tcrn.ch/2WJjc7c by @jshieber
14/05/2019 16:08;techcrunch;you probably weren 't a target of the whatsapp hack reported yesterday , but you should still update your apps if you haven 't already . https ://techcrunch.com/2019/05/14/whatsapp-vulnerability-risk/ ...;You probably weren’t a target of the WhatsApp hack reported yesterday, but you should still update your apps if you haven't already. 
14/05/2019 16:02;techcrunch;oneplus redefines premium with the 7 pro https ://tcrn.ch/2wgusbm by @bheater pic .twitter.com/dw9rpo0qcy;OnePlus redefines premium with the 7 Pro https://tcrn.ch/2WGusBm by @bheater
14/05/2019 16:01;techcrunch;oneplus ' new $99 earbuds promise long battery , better sound https ://tcrn.ch/2wjk5g4 by @bheater pic .twitter.com/tfbvemcsbq;OnePlus’ new $99 earbuds promise long battery, better sound https://tcrn.ch/2WJk5g4 by @bheater
14/05/2019 16:01;techcrunch;sisense acquires periscope data to build integrated data science and analytics solution https ://tcrn.ch/2vcaw6f by @ron_miller pic .twitter.com/geeowk7w7u;Sisense acquires Periscope Data to build integrated data science and analytics solution https://tcrn.ch/2VCaw6f by @ron_miller
