date;user;date_scraped;company_name;series;raised_funds;investors;date
14/05/2019 23:47;techcrunch;2019-05-14T23:45:41;Rubio;series d;100000000.0 $;{'The Wall Street Journal', 'Global Founders Capital', 'Wellington Management', 'Lone Pine Capital', 'Baillie Gifford'};14/05/2019 23:47
14/05/2019 22:49;techcrunch;2019-05-14T22:48:29;CrowdStrike;public;;{'Uber'};14/05/2019 22:49
14/05/2019 22:01;techcrunch;2019-05-14T22:01:10;Peskin;public;;;14/05/2019 22:01
14/05/2019 22:01;techcrunch;2019-05-14T22:00:24;FAA;series o;;;14/05/2019 22:01
14/05/2019 21:26;techcrunch;2019-05-14T21:24:57;The New York Times;;;;14/05/2019 21:26
14/05/2019 20:35;techcrunch;;;;;;14/05/2019 20:35
14/05/2019 20:32;techcrunch;2019-05-14T20:30:17;Startup Battlefield;;;;14/05/2019 20:32
14/05/2019 20:17;techcrunch;2019-05-14T20:16:13;Innowatts;;;;14/05/2019 20:17
14/05/2019 20:03;techcrunch;2019-05-14T20:02:12;New Relic;;;;14/05/2019 20:03
14/05/2019 20:00;techcrunch;;;;;;14/05/2019 20:00
14/05/2019 19:56;techcrunch;;;;;;14/05/2019 19:56
14/05/2019 19:35;techcrunch;2019-05-14T19:34:20;Uber;ipo;;{'NYSE'};14/05/2019 19:35
14/05/2019 18:53;techcrunch;2019-05-14T18:51:58;Beat Games;;;;14/05/2019 18:53
14/05/2019 18:50;techcrunch;;;;;;14/05/2019 18:50
14/05/2019 18:31;techcrunch;;;;;;14/05/2019 18:31
14/05/2019 18:25;techcrunch;2019-05-14T18:24:29;TomboyX;series b;18000000.0 $;{'TomboyX'};14/05/2019 18:25
14/05/2019 18:05;techcrunch;2019-05-14T17:05:01;Yext;public;;{'Lerman'};14/05/2019 18:05
14/05/2019 17:52;techcrunch;2019-05-14T17:51:26;Moon;;;;14/05/2019 17:52
14/05/2019 17:43;techcrunch;2019-05-14T17:43:16;Musk;public;;{'SpaceX', 'Elon Musk'};14/05/2019 17:43
14/05/2019 17:39;techcrunch;;;;;;14/05/2019 17:39
14/05/2019 17:36;techcrunch;2019-05-14T17:36:25;Group of 7;;;;14/05/2019 17:36
14/05/2019 17:19;techcrunch;;;;;;14/05/2019 17:19
14/05/2019 17:05;techcrunch;2019-05-14T16:05:54;Phil Weiner;;;;14/05/2019 17:05
14/05/2019 17:04;techcrunch;;;;;;14/05/2019 17:04
14/05/2019 17:04;techcrunch;2019-05-14T17:00:56;TechCrunch Sessions is heading to San Jose;;;;14/05/2019 17:04
14/05/2019 17:01;techcrunch;2019-05-14T16:59:43;Labs;;;;14/05/2019 17:01
14/05/2019 17:00;techcrunch;;;;;;14/05/2019 17:00
14/05/2019 16:36;techcrunch;2019-05-14T16:36:01;Google;;;;14/05/2019 16:36
14/05/2019 16:35;techcrunch;;;;;;14/05/2019 16:35
14/05/2019 16:33;techcrunch;;;;;;14/05/2019 16:33
14/05/2019 16:24;techcrunch;2019-05-14T13:39:16;Hulu;;;;14/05/2019 16:24
14/05/2019 16:24;techcrunch;2019-05-14T16:22:48;Apple;public;750000000.0 $;{'Beyond Meat'};14/05/2019 16:24
14/05/2019 16:22;techcrunch;2019-05-14T16:20:52;Tyson Foods;;;;14/05/2019 16:22
14/05/2019 16:08;techcrunch;;;;;;14/05/2019 16:08
14/05/2019 16:02;techcrunch;2019-05-14T16:00:56;Samsung;;;;14/05/2019 16:02
14/05/2019 16:01;techcrunch;2019-05-14T16:00:23;OnePlus’;;;;14/05/2019 16:01
14/05/2019 16:01;techcrunch;2019-05-14T16:00:23;Glaser;;;;14/05/2019 16:01
14/05/2019 15:56;techcrunch;;;;;;14/05/2019 15:56
14/05/2019 15:01;techcrunch;;;;;;14/05/2019 15:01
14/05/2019 14:43;techcrunch;2019-05-14T14:42:17;Match;;;;14/05/2019 14:43
14/05/2019 14:38;techcrunch;2019-05-14T14:01:51;USDC;public;;;14/05/2019 14:38
14/05/2019 14:02;techcrunch;2019-05-14T14:01:21;BTC;public;;{'Travis Scher', 'Digital Currency Group', 'the Digital Currency Group'};14/05/2019 14:02
14/05/2019 14:00;techcrunch;2019-05-14T13:59:12;Rivet;public;;{'Google Play', 'the Apple App Store'};14/05/2019 14:00
14/05/2019 13:56;techcrunch;2019-05-14T13:53:33;WeChat;;;;14/05/2019 13:56
14/05/2019 13:31;techcrunch;;;;;;14/05/2019 13:31
14/05/2019 13:04;techcrunch;2019-05-14T13:01:53;Amazon;;;;14/05/2019 13:04
14/05/2019 13:03;techcrunch;2019-05-14T13:00:47;Hailo;series a;12500000.0 $;{'Hailo-8'};14/05/2019 13:03
14/05/2019 13:02;techcrunch;2019-05-14T13:00:51;Adobe;;;;14/05/2019 13:02
14/05/2019 13:02;techcrunch;;;;;;14/05/2019 13:02
14/05/2019 13:01;techcrunch;2019-05-14T13:00:08;Google;;;;14/05/2019 13:01
14/05/2019 13:01;techcrunch;2019-05-14T13:00:05;Apple;series n;;{'von Furstenberg', 'Yap'};14/05/2019 13:01
14/05/2019 13:00;techcrunch;;;;;;14/05/2019 13:00
14/05/2019 13:00;techcrunch;2019-05-14T12:58:43;LinkedIn;;;;14/05/2019 13:00
14/05/2019 12:24;techcrunch;2019-05-14T12:23:19;Google;;;;14/05/2019 12:24
14/05/2019 11:30;techcrunch;;;;;;14/05/2019 11:30
14/05/2019 11:27;techcrunch;2019-05-14T11:26:18;InnoVen;series a;;{'Sharma', 'TechCrunch', 'Series A'};14/05/2019 11:27
14/05/2019 11:01;techcrunch;;;;;;14/05/2019 11:01
14/05/2019 10:22;techcrunch;;;;;;14/05/2019 10:22
14/05/2019 10:02;techcrunch;2019-05-14T10:00:20;Amazon;;;;14/05/2019 10:02
14/05/2019 09:56;techcrunch;2019-05-14T09:55:13;Paytm;;;;14/05/2019 09:56
14/05/2019 09:36;techcrunch;;;;;;14/05/2019 09:36
14/05/2019 09:14;techcrunch;;;;;;14/05/2019 09:14
14/05/2019 09:02;techcrunch;;;;;;14/05/2019 09:02
14/05/2019 08:42;techcrunch;2019-05-14T08:41:10;Kapur;seed;;{'Golden Gate Ventures’', 'Jungle Ventures'};14/05/2019 08:42
14/05/2019 08:01;techcrunch;2019-05-14T08:00:29;Aurélie;public;;{'Renaud', 'NYSE', 'Ashoka'};14/05/2019 08:01
14/05/2019 08:01;techcrunch;;;;;;14/05/2019 08:01
14/05/2019 05:45;techcrunch;2019-05-14T05:43:59;Uber;ipo;;{'SoftBank Group', 'Vision Fund'};14/05/2019 05:45
14/05/2019 04:04;techcrunch;;;;;;14/05/2019 04:04
14/05/2019 04:02;techcrunch;;;;;;14/05/2019 04:02
14/05/2019 02:00;techcrunch;;;;;;14/05/2019 02:00
14/05/2019 00:59;techcrunch;;;;;;14/05/2019 00:59
14/05/2019 00:02;techcrunch;;;;;;14/05/2019 00:02
12/05/2019 23:29;techcrunch;;;;;;12/05/2019 23:29
12/05/2019 23:01;techcrunch;2019-05-12T23:00:57;Ethereal;series o;;{'ConsenSys'};12/05/2019 23:01
12/05/2019 22:44;techcrunch;2019-05-12T22:43:14;NOAA;;;;12/05/2019 22:44
12/05/2019 21:39;techcrunch;;;;;;12/05/2019 21:39
12/05/2019 20:48;techcrunch;2019-05-12T20:46:44;THC;;;;12/05/2019 20:48
12/05/2019 17:36;techcrunch;;;;;;12/05/2019 17:36
